"ARVI","ARVI_INTP","B","CMRI","CMRI_INTP","CVI","CVI_INTP","EVI_INTP","EVI_RMSE","G","GLI","GLI_INTP","IPVI","IPVI_INTP","MCARI1","MCARI1_INTP","MCARI2","MCARI2_INTP","N","NDTI","NDTI_INTP","NDVI","NDVI_INTP","NDWI","NDWI_INTP","NLI","NLI_INTP","N_INTP","OSAVI","OSAVI_INTP","R","R_INTP","TDVI","TDVI_INTP","TVI","TVI_INTP","TriVI","TriVI_INTP","WDRVI","WDRVI_INTP","landcover","cv_fold_id","repeat_cv_id"
0.7151989,0.66241527,0.0401,1.2248821,1.1315622,2.55621517392163,2.37368,2.4524038,2.3434083,0.0679,0.208722741433022,0.1827649,0.83189803,0.8073357,3072.84,2844.3738,0.795328892141474,0.7625526,0.2415,-0.16366753,-0.14439802,0.66379607,0.61467135,-0.561086,-0.51689094,0.9998327,0.99979204,0.2338375,0.663759489659543,0.614637,0.0488,0.055870835,1.19684428788391,1.1404808,1.07879380468554,1.0555578,123260,114787.68,-0.337902673063742,-0.40492627,"mangrove",1,34
0.7314587,0.688998,0.0382,1.2876132,1.1910058,2.91193258186506,2.5688565,2.1188917,0.28594774,0.0619,0.194404245055475,0.18742254,0.8446502,0.82105017,3153.36,2882.29,0.800262173298016,0.7731834,0.2463,-0.15485075,-0.14835192,0.6893004,0.6421003,-0.5983128,-0.54890555,0.9998507,0.99980986,0.233075,0.689262591901679,0.64206374,0.0453,0.051125,1.2240711778409,1.1703167,1.09055050846929,1.0682855,127240,114981.914,-0.295581295581296,-0.36098105,"mangrove",5,34
0.81099445,0.7820577,0.0306,1.4465512,1.3787992,3.42319179888869,3.0113928,2.204092,0.12744756,0.0569,0.249176728869374,0.2450304,0.8858006,0.8713615,3975.72,3621.1055,0.847555718617377,0.8401499,0.2932,-0.20168954,-0.20225462,0.7716012,0.742723,-0.67495,-0.6360762,0.9999121,0.9998877,0.26952082,0.771563912318438,0.74268395,0.0378,0.039641667,1.30658788042438,1.2782707,1.12765296455036,1.1147352,160880,146963.31,-0.126340882002384,-0.19044854,"mangrove",2,34
0.73390555,0.6980622,0.0403,1.3003654,1.1966836,2.9856330749354,2.6211147,2.119796,0.6028876,0.0645,0.191135734072022,0.19453782,0.84737015,0.8225655,3368.64,3038.154,0.801826464669496,0.7749581,0.2626,-0.15384616,-0.14867094,0.69474024,0.64513105,-0.6056252,-0.5515526,0.99986285,0.9998139,0.24401666,0.694704371507118,0.64509594,0.0473,0.0522,1.22977499244016,1.1724831,1.09304173698295,1.0695347,136060,122642.516,-0.286025013594345,-0.35540912,"mangrove",2,34
0.797654,0.7603689,0.0276,1.4182565,1.3558166,3.34809900361846,3.0733323,2.4043114,1.1176809,0.0499,0.236679058240397,0.22129364,0.8782235,0.8635819,3289.32,3310.097,0.838511694870543,0.8252069,0.2452,-0.18951133,-0.18568867,0.756447,0.7271638,-0.66180956,-0.62865275,0.99988693,0.999871,0.25082916,0.756403644490287,0.72712296,0.034,0.039891668,1.29196994117924,1.2613264,1.12091346294173,1.1075106,133080,134897.75,-0.161995898838004,-0.2134985,"mangrove",5,34
0.78216475,0.73912555,0.032,1.4010935,1.2915174,3.07214285714286,2.719071,2.2038858,0.24538992,0.056,0.238938053097345,0.22313851,0.8767582,0.84961164,3539.52,3166.6716,0.845075396572699,0.8170015,0.2618,-0.20689656,-0.1850436,0.75351644,0.6992232,-0.6475771,-0.5922941,0.9998926,0.9998485,0.23893334,0.753476036113269,0.6991827,0.0368,0.042625,1.28911737032932,1.2329035,1.11960547065157,1.094855,142680,129069.71,-0.168624960304859,-0.27068967,"mangrove",2,34
0.7039778,0.7108487,0.048,1.291833,1.260881,2.68988796322896,2.5084453,2.4876974,0.56060725,0.0708,0.187919463087248,0.21508247,0.8498923,0.84411913,3619.2,3400.4597,0.818747950083018,0.8174955,0.2763,-0.18394649,-0.19485156,0.6997847,0.68823826,-0.5920484,-0.5726427,0.99987215,0.9998491,0.25914165,0.699750242990194,0.68820196,0.0488,0.047141667,1.23503106212196,1.2209771,1.09534683166403,1.0897605,145300,133447.14,-0.276985476906974,-0.28788617,"mangrove",1,34
0.80497384,0.73968613,0.0298,1.4391152,1.2916421,3.53274671419024,2.967384,2.1036491,0.13884963,0.0536,0.233601841196778,0.20425926,0.88227767,0.8456167,3703.68,3044.4482,0.839378602561322,0.80043584,0.2758,-0.18584071,-0.15754686,0.76455534,0.69123346,-0.67455983,-0.60040855,0.99990326,0.9998356,0.23672083,0.764516211582261,0.6911934,0.0368,0.042529166,1.29982348277406,1.2243145,1.12452449608289,1.0911635,150120,126612.37,-0.143212177694936,-0.28389996,"mangrove",3,34
0.79967296,0.75563085,0.0245,1.408286,1.3356062,3.14180688439093,3.0496936,2.1931982,0.21157248,0.0463,0.253893026404875,0.21483651,0.8779418,0.85717577,2973.72,3188.3938,0.844517002187503,0.8138247,0.2201,-0.20416124,-0.17247352,0.7558835,0.71435153,-0.6524024,-0.6212547,0.9998737,0.9998591,0.2408375,0.755835287735924,0.7143102,0.0306,0.040566668,1.29141757533839,1.2479873,1.12066209275002,1.1016617,119980,131571.7,-0.163276943546854,-0.23891349,"mangrove",5,34
0.74719584,0.6985972,0.0293,1.2320005,1.1729597,2.510662566951,2.540658,1.9243467,0.2481218,0.0568,0.242208857299071,0.1964465,0.83505154,0.8163454,2602.08,2876.674,0.803207817718608,0.7684558,0.2025,-0.17355372,-0.14170048,0.6701031,0.6326908,-0.5618974,-0.5402689,0.9998049,0.99979985,0.22819167,0.670058882712893,0.63265395,0.04,0.051695835,1.20364492631939,1.1611941,1.08171303624552,1.0640874,104220,119553.8,-0.327800829875519,-0.38055018,"mangrove",1,34
0.750147,0.7188582,0.0425,1.4398854,1.3123244,2.7054976,2.5835202,2.7663357,0.67703587,0.0625,0.231527093596059,0.21740176,0.8934574,0.85777247,4196.88,3936.2073,0.881177964171463,0.8325432,0.2977,-0.2755102,-0.21800564,0.78691477,0.7155449,-0.65297055,-0.5967795,0.9999199,0.99988043,0.2888375,0.786876980697205,0.71551085,0.0355,0.047620833,1.32110215678239,1.2476726,1.13442265752512,1.1019608,168120,160125.88,-0.0877891833920637,-0.22573578,"mangrove",1,34
0.7711635,0.7197328,0.0296,1.3607666,1.2473463,2.92583038548753,2.6095004,2.1651542,0.34574896,0.0525,0.236749116607774,0.21297006,0.866818,0.83773696,3062.04,2732.643,0.835434120761191,0.8002705,0.2291,-0.1972634,-0.17374419,0.733636,0.6754739,-0.6271307,-0.5718724,0.9998659,0.99981564,0.21384583,0.733591610042525,0.67543083,0.0352,0.041904166,1.26949032644326,1.2065889,1.11069168524601,1.0837691,123260,107032.27,-0.211495439683359,-0.30803338,"mangrove",2,34
