Classifier_Type,CV_ID,Fold,Accuracy,F1_Score,AUC,Precision,Recall,logloss
KNN-Beta-ab,1,1,0.966666666666667,0.956521739130435,0.978292540792541,0.927710843373494,0.987179487179487,0.477706606526875
KNN-Beta-ab,1,2,0.961904761904762,0.96,0.993841802755223,0.932038834951456,0.989690721649485,0.097447170922972
KNN-Beta-ab,1,3,0.934010152284264,0.938388625592417,0.965944432925565,0.942857142857143,0.933962264150943,0.731469313345896
KNN-Beta-ab,1,4,0.962441314553991,0.964285714285714,0.989105504587156,0.939130434782609,0.990825688073395,0.163786548928455
KNN-Beta-ab,1,5,0.96551724137931,0.966101694915254,0.995652173913043,0.942148760330579,0.991304347826087,0.085175489769817
KNN-Beta-ab,2,1,0.967153284671533,0.955223880597015,0.991079571363429,0.96969696969697,0.941176470588235,0.203528472474424
KNN-Beta-ab,2,2,0.975124378109453,0.974874371859297,0.991331484049931,0.96039603960396,0.989795918367347,0.162050299635743
KNN-Beta-ab,2,3,0.934782608695652,0.94,0.972915434654051,0.895238095238095,0.989473684210526,0.468937112102807
KNN-Beta-ab,2,4,0.970588235294118,0.973451327433628,0.995744680851064,0.948275862068966,1,0.0831488455108522
KNN-Beta-ab,2,5,0.934673366834171,0.934673366834171,0.966060606060606,0.939393939393939,0.93,0.730165785478676
KNN-Beta-ab,3,1,0.966981132075472,0.968888888888889,0.995766488413547,0.947826086956522,0.990909090909091,0.0855505174707632
KNN-Beta-ab,3,2,0.975609756097561,0.977578475336323,0.989105504587156,0.956140350877193,1,0.165980376000375
KNN-Beta-ab,3,3,0.954545454545455,0.948979591836735,0.974791666666667,0.96875,0.93,0.648714912419283
KNN-Beta-ab,3,4,0.953703703703704,0.948453608247423,0.975740886441122,0.910891089108911,0.989247311827957,0.541947967181825
KNN-Beta-ab,3,5,0.952153110047847,0.946808510638298,0.988644790507972,0.936842105263158,0.956989247311828,0.255265392954126
KNN-Beta-ab,4,1,0.985436893203884,0.982857142857143,0.993142084419975,0.977272727272727,0.988505747126437,0.215323230006285
KNN-Beta-ab,4,2,0.954545454545455,0.948979591836735,0.974791666666667,0.96875,0.93,0.648714912419283
KNN-Beta-ab,4,3,0.96,0.96234309623431,0.989837076874407,0.934959349593496,0.991379310344828,0.162970040468956
KNN-Beta-ab,4,4,0.952153110047847,0.946808510638298,0.988644790507972,0.936842105263158,0.956989247311828,0.255265392954126
KNN-Beta-ab,4,5,0.935643564356436,0.943722943722944,0.960491269606392,0.89344262295082,1,0.681287187682474
KNN-Beta-ab,5,1,0.970338983050847,0.962566844919786,0.989507850241546,0.947368421052632,0.978260869565217,0.225886862858881
KNN-Beta-ab,5,2,0.970443349753695,0.96551724137931,0.995014955134596,0.943820224719101,0.988235294117647,0.0861070118020859
KNN-Beta-ab,5,3,0.956756756756757,0.961904761904762,0.973774163130599,0.926605504587156,1,0.535838154124745
KNN-Beta-ab,5,4,0.920560747663551,0.927659574468085,0.966101694915254,0.931623931623932,0.923728813559322,0.676091058607869
KNN-Beta-ab,5,5,0.977678571428571,0.977578475336323,0.996449940167531,0.956140350877193,1,0.0706206623965912
KNN-Beta-ab,6,1,0.915422885572139,0.927659574468085,0.945638945233266,0.915966386554622,0.939655172413793,1.10431653156479
KNN-Beta-ab,6,2,0.950738916256158,0.945054945054945,0.993889217425586,0.924731182795699,0.966292134831461,0.103399563960401
KNN-Beta-ab,6,3,0.975409836065574,0.972727272727273,0.991796023965142,0.955357142857143,0.990740740740741,0.212276558095617
KNN-Beta-ab,6,4,0.974093264248705,0.971428571428571,0.994989106753813,0.944444444444444,1,0.0703992799451888
KNN-Beta-ab,6,5,0.959276018099548,0.95852534562212,0.985325463190687,0.945454545454545,0.97196261682243,0.295769533831142
KNN-Beta-ab,7,1,0.920560747663551,0.927659574468085,0.966101694915254,0.931623931623932,0.923728813559322,0.676091058607869
KNN-Beta-ab,7,2,0.970443349753695,0.96551724137931,0.995014955134596,0.943820224719101,0.988235294117647,0.0861070118020859
KNN-Beta-ab,7,3,0.986111111111111,0.982456140350877,0.989043556353839,0.976744186046512,0.988235294117647,0.22249957435784
KNN-Beta-ab,7,4,0.981220657276995,0.983050847457627,0.992356914326342,0.966666666666667,1,0.152557131352643
KNN-Beta-ab,7,5,0.944444444444444,0.943396226415094,0.979250968575118,0.900900900900901,0.99009900990099,0.374295856731637
KNN-Beta-ab,8,1,0.920560747663551,0.927659574468085,0.966101694915254,0.931623931623932,0.923728813559322,0.676091058607869
KNN-Beta-ab,8,2,0.96,0.96234309623431,0.989837076874407,0.934959349593496,0.991379310344828,0.162970040468956
KNN-Beta-ab,8,3,0.990430622009569,0.984126984126984,0.991302457055882,0.984126984126984,0.984126984126984,0.209674843443949
KNN-Beta-ab,8,4,0.951086956521739,0.957746478873239,0.977223816355811,0.918918918918919,1,0.505288908015888
KNN-Beta-ab,8,5,0.965217391304348,0.963302752293578,0.990756238587949,0.9375,0.990566037735849,0.0984451638304444
KNN-Beta-ab,9,1,0.96551724137931,0.957575757575758,0.98972879983809,0.940476190476191,0.975308641975309,0.270242824445059
KNN-Beta-ab,9,2,0.920634920634921,0.931506849315068,0.94329128440367,0.927272727272727,0.935779816513762,1.14859255396604
KNN-Beta-ab,9,3,0.962809917355372,0.96137339055794,0.991459147972834,0.933333333333333,0.991150442477876,0.0998350085075192
KNN-Beta-ab,9,4,0.967741935483871,0.962025316455696,0.995889431669248,0.938271604938272,0.987012987012987,0.0774449542654565
KNN-Beta-ab,9,5,0.983471074380165,0.984251968503937,0.993128205128205,0.968992248062015,1,0.143487449744406
KNN-Beta-ab,10,1,0.934673366834171,0.934673366834171,0.966060606060606,0.939393939393939,0.93,0.730165785478676
KNN-Beta-ab,10,2,0.985507246376812,0.982658959537572,0.986642321737459,0.977011494252874,0.988372093023256,0.313227012885842
KNN-Beta-ab,10,3,0.977477477477478,0.978723404255319,0.996139780577001,0.958333333333333,1,0.0708813826971766
KNN-Beta-ab,10,4,0.946502057613169,0.946502057613169,0.979873744230247,0.905511811023622,0.991379310344828,0.339759440800373
KNN-Beta-ab,10,5,0.942408376963351,0.93854748603352,0.986650485436893,0.923076923076923,0.954545454545455,0.282924651017595
KNN-Beta-ab,11,1,0.979695431472081,0.96969696969697,0.990573675688179,0.96969696969697,0.96969696969697,0.235014268527398
KNN-Beta-ab,11,2,0.958974358974359,0.955555555555556,0.995317156236697,0.924731182795699,0.988505747126437,0.0896324142452994
