Classifier,Calibration Method,Accuracy,F1_Score,AUC,Precision,Recall,logloss
KNN,Beta-ab,0.959 $\pm$ 0.018,0.958 $\pm$ 0.016,0.983 $\pm$ 0.012,0.942 $\pm$ 0.022,0.975 $\pm$ 0.026,0.34 $\pm$ 0.264
KNN,Beta-abm,0.957 $\pm$ 0.02,0.956 $\pm$ 0.018,0.983 $\pm$ 0.012,0.946 $\pm$ 0.024,0.967 $\pm$ 0.031,0.37 $\pm$ 0.294
KNN,Isotonic,0.957 $\pm$ 0.018,0.956 $\pm$ 0.016,0.983 $\pm$ 0.012,0.941 $\pm$ 0.024,0.971 $\pm$ 0.027,0.424 $\pm$ 0.336
KNN,Platt,0.958 $\pm$ 0.019,0.957 $\pm$ 0.018,0.983 $\pm$ 0.012,0.947 $\pm$ 0.023,0.968 $\pm$ 0.029,0.142 $\pm$ 0.066
KNN,Uncalibrated,0.959 $\pm$ 0.018,0.958 $\pm$ 0.016,0.983 $\pm$ 0.012,0.942 $\pm$ 0.022,0.975 $\pm$ 0.026,0.417 $\pm$ 0.335
LogisticRegression,Beta-ab,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.022,0.965 $\pm$ 0.03,0.117 $\pm$ 0.046
LogisticRegression,Beta-abm,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.021,0.965 $\pm$ 0.032,0.118 $\pm$ 0.047
LogisticRegression,Isotonic,0.961 $\pm$ 0.016,0.96 $\pm$ 0.014,0.99 $\pm$ 0.008,0.948 $\pm$ 0.024,0.974 $\pm$ 0.026,0.201 $\pm$ 0.151
LogisticRegression,Platt,0.959 $\pm$ 0.018,0.957 $\pm$ 0.017,0.992 $\pm$ 0.006,0.956 $\pm$ 0.021,0.959 $\pm$ 0.035,0.13 $\pm$ 0.056
LogisticRegression,Uncalibrated,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.022,0.965 $\pm$ 0.03,0.115 $\pm$ 0.041
RandomForest,Beta-ab,0.959 $\pm$ 0.018,0.957 $\pm$ 0.018,0.987 $\pm$ 0.011,0.958 $\pm$ 0.018,0.957 $\pm$ 0.037,0.554 $\pm$ 0.415
