Classifier,Accuracy,F1_Score,AUC,Precision,Recall,logloss
KNN,0.959 $\pm$ 0.018,0.958 $\pm$ 0.016,0.983 $\pm$ 0.012,0.942 $\pm$ 0.022,0.975 $\pm$ 0.026,0.417 $\pm$ 0.335
Logistic Regression,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.022,0.965 $\pm$ 0.03,0.115 $\pm$ 0.041
Random Forest,0.959 $\pm$ 0.018,0.957 $\pm$ 0.018,0.987 $\pm$ 0.011,0.958 $\pm$ 0.018,0.957 $\pm$ 0.037,0.275 $\pm$ 0.227
SVM,0.961 $\pm$ 0.014,0.959 $\pm$ 0.013,0.99 $\pm$ 0.006,0.948 $\pm$ 0.02,0.971 $\pm$ 0.024,0.14 $\pm$ 0.062
Stacking-LogReg-NPT,0.957 $\pm$ 0.02,0.954 $\pm$ 0.019,0.984 $\pm$ 0.015,0.951 $\pm$ 0.02,0.959 $\pm$ 0.037,0.163 $\pm$ 0.077
Stacking-LogReg-PT,0.949 $\pm$ 0.016,0.947 $\pm$ 0.016,0.985 $\pm$ 0.008,0.928 $\pm$ 0.023,0.967 $\pm$ 0.033,0.223 $\pm$ 0.105
Stacking-RF-NPT,0.956 $\pm$ 0.016,0.954 $\pm$ 0.016,0.984 $\pm$ 0.01,0.946 $\pm$ 0.021,0.963 $\pm$ 0.032,0.326 $\pm$ 0.248
Stacking-RF-PT,0.958 $\pm$ 0.018,0.956 $\pm$ 0.017,0.988 $\pm$ 0.009,0.951 $\pm$ 0.022,0.963 $\pm$ 0.032,0.2 $\pm$ 0.134
