source,i1_mean,i2_mean,i3_mean,interp_std,knn_prob,logreg_prob,rf_prob,svc_prob,xgb_prob,models_std,stratum
cert,0.0,0.3,0.3,0.14142135623730953,0.0,0.0048427823930978775,0.0,0.0038639805279672146,0.0023910016752779484,0.001973205515470781,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.06666667014360428,0.003913255408406258,0.0,0.004560692701488733,0.006970944814383984,0.025221779110760466,Consensus
cert,0.0,0.0,0.0,0.0,0.06666667014360428,0.1024586632847786,0.10000000149011612,0.1242089569568634,0.10541722923517227,0.01861324331803239,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.0,0.04012538492679596,0.07999999821186066,0.03996781259775162,0.044052526354789734,0.025349564816313366,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.20000000298023224,0.07842186838388443,0.019999999552965164,0.1263456642627716,0.012542965821921825,0.06988912451498727,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.13333334028720856,0.06917647272348404,0.019999999552965164,0.08120797574520111,0.056429486721754074,0.03688081980283162,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.20000000298023224,0.06563272327184677,0.009999999776482582,0.09957882761955261,0.0034028030931949615,0.0716455320373154,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.0,0.00905277207493782,0.07000000029802322,0.009679816663265228,0.004858413245528936,0.02587431395126094,Consensus
cert,0.0,0.0,0.7,0.3299831645537222,0.0,0.008961893618106842,0.03999999910593033,0.010976274497807026,0.004390318412333727,0.014088563805528578,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.0,0.014995395205914974,0.0,0.02554483525454998,0.0048630936071276665,0.009886938835837878,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.06666667014360428,0.0013463256182149053,0.0,0.001392500358633697,0.006100339815020561,0.02586574743459386,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.06666667014360428,0.008862758055329323,0.0,0.01203225925564766,0.006970944814383984,0.024203632000358404,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.014372595585882664,0.11999999731779099,0.0161084346473217,0.04758593812584877,0.04309145960805433,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.0,3.843759623123333e-05,0.0,3.322343764011748e-05,0.0034985309466719627,0.001392339461111903,Consensus
cert,0.0,0.0,0.0,0.0,0.13333334028720856,0.060549505054950714,0.009999999776482582,0.09989988803863525,0.008564709685742855,0.04916335843306861,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.13333334028720856,0.1928463578224182,0.09000000357627869,0.25718021392822266,0.03115866333246231,0.07862663304745325,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.06874831020832062,0.05999999865889549,0.05712106078863144,0.018952764570713043,0.026675575091209203,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.06666667014360428,0.012710650451481342,0.0,0.014179964549839497,0.0050895316526293755,0.0240280726532764,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.2666666805744171,0.19222605228424072,0.11999999731779099,0.2396450787782669,0.015299011021852493,0.09063004812179351,Consensus
cert,0.0,0.3,0.7,0.28674417556808757,0.13333334028720856,0.011655453592538834,0.0,0.019278232008218765,0.003039008006453514,0.050390977831596476,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.06666667014360428,0.004653860814869404,0.009999999776482582,0.005203503184020519,0.005292495712637901,0.024228641140541633,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.00014805640967097133,0.0,0.00011621633893810213,0.005936812609434128,0.002349062748155925,Consensus
cert,0.0,0.3,0.7,0.28674417556808757,0.0,0.055178675800561905,0.0,0.0903645008802414,0.012159879319369793,0.03573301323186041,Consensus
cert,0.0,0.0,0.0,0.0,0.13333334028720856,0.025643620640039444,0.03999999910593033,0.04570549353957176,0.042301077395677567,0.038579369407129714,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.0005137991975061595,0.009999999776482582,0.00042261293856427073,0.03229309245944023,0.012405872784977045,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.022778687998652458,0.12999999523162842,0.022508995607495308,0.015815824270248413,0.046629503080640344,Consensus
cert,0.0,0.0,0.0,0.0,0.06666667014360428,0.05290819704532623,0.12999999523162842,0.08038416504859924,0.028375746682286263,0.03385190068504573,Consensus
cert,0.0,0.7,0.7,0.3299831645537222,0.13333334028720856,0.38949039578437805,0.4000000059604645,0.36138811707496643,0.1948949098587036,0.1100132565289897,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.0,0.027029292657971382,0.0,0.039115022867918015,0.005495828110724688,0.015901633665228912,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.0,2.7662317734211683e-05,0.0,3.3104523026850075e-05,0.007395102642476559,0.002951996146874729,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.0,0.11118973791599274,0.03999999910593033,0.14301569759845734,0.03181099519133568,0.053237664147673947,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.2666666805744171,0.2179604321718216,0.10999999940395355,0.2724897861480713,0.13293008506298065,0.06726093319879409,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.0,0.05857492983341217,0.09000000357627869,0.08247896283864975,0.18421319127082825,0.059630447596024046,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.0,0.0208112895488739,0.0,0.03654840588569641,0.027724551036953926,0.01476266016778766,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.02145417220890522,0.0,0.03919211030006409,0.009170844219624996,0.014869574047127647,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.07064305990934372,0.0,0.09247373044490814,0.0079069584608078,0.03938153932009838,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.0013459434267133474,0.0,0.0012834680965170264,0.0023910016752779484,0.0009093770765882051,Consensus
cert,0.0,0.5,0.7,0.29439202887759497,0.06666667014360428,0.011622369289398193,0.12999999523162842,0.011976329609751701,0.00651518302038312,0.047706435395251455,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.015768524259328842,0.0,0.016563840210437775,0.009793050587177277,0.007266372972714953,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.0018618061440065503,0.0,0.0019010452087968588,0.004818758461624384,0.001764761894070129,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.06666667014360428,0.05727464333176613,0.0,0.0726674348115921,0.015873441472649574,0.029077880631475955,Consensus
cert,0.0,0.3,0.0,0.1414213562373095,0.0,0.042060766369104385,0.07999999821186066,0.0702325776219368,0.028701599687337875,0.028836614562994658,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.0,0.08172330260276794,0.029999999329447746,0.12381191551685333,0.061440471559762955,0.0425302436979964,Consensus
cert,0.0,0.0,0.3,0.1414213562373095,0.20000000298023224,0.20261934399604797,0.1599999964237213,0.24616292119026184,0.07382470369338989,0.058140961740996575,Consensus
cert,0.0,0.3,0.7,0.28674417556808757,0.20000000298023224,0.14253628253936768,0.10000000149011612,0.1962902545928955,0.017851129174232483,0.06770525464366443,Consensus
cert,0.0,0.3,1.0,0.41899350299921784,0.13333334028720856,0.02964571677148342,0.05000000074505806,0.04489416256546974,0.06385510414838791,0.036187802996093164,Consensus
cert,0.0,0.3,0.7,0.28674417556808757,0.0,0.03161861002445221,0.0,0.04885523021221161,0.010579434223473072,0.019185174950845634,Consensus
cert,0.0,0.3,0.3,0.14142135623730953,0.0,0.000325991801219061,0.0,0.0003746938891708851,0.007395102642476559,0.002892260413990841,Consensus
cert,0.0,0.0,0.0,0.0,0.0,0.03675323724746704,0.009999999776482582,0.039047837257385254,0.041451964527368546,0.017059497203293177,Consensus
cert,0.0,0.0,0.7,0.3299831645537222,0.0,0.014357834123075008,0.0,0.017701374366879463,0.00683103920891881,0.007261664804161603,Consensus
