i1_mean,i2_mean,i3_mean,interp_std,logreg_npt_prob,logreg_pt_prob,rf_npt_prob,rf_pt_prob,source,val_int,interp_mean
0.0,0.3,0.3,0.14142135623730953,0.010010998696088791,0.00014188267232384533,0.0,0.0,cert,0.0,0.19999999999999998
0.0,0.3,0.3,0.14142135623730953,0.01139596477150917,0.0003882060700561851,0.0,0.02199999988079071,cert,0.0,0.19999999999999998
0.0,0.0,0.0,0.0,0.023846184834837914,0.10109870135784149,0.006000000052154064,0.09799999743700027,cert,0.0,0.0
0.0,0.3,0.3,0.14142135623730953,0.012744338251650333,0.014303233474493027,0.0,0.03999999910593033,cert,0.0,0.19999999999999998
0.0,0.3,0.3,0.14142135623730953,0.029175732284784317,0.027557000517845154,0.1720000058412552,0.07999999821186066,cert,0.0,0.19999999999999998
0.0,0.3,0.3,0.14142135623730953,0.020602082833647728,0.12758687138557434,0.004000000189989805,0.029999999329447746,cert,0.0,0.19999999999999998
0.0,0.3,0.0,0.1414213562373095,0.024764258414506912,0.06532049179077148,0.1679999977350235,0.06599999964237213,cert,0.0,0.09999999999999999
0.0,0.0,0.3,0.1414213562373095,0.010252133011817932,0.000134114088723436,0.0,0.052000001072883606,cert,0.0,0.09999999999999999
0.0,0.0,0.7,0.3299831645537222,0.010379607789218426,0.0007959991344250739,0.0,0.019999999552965164,cert,0.0,0.2333333333333333
0.0,0.3,0.0,0.1414213562373095,0.01144662220031023,0.0011509401956573129,0.0,0.0,cert,0.0,0.09999999999999999
0.0,0.3,0.0,0.1414213562373095,0.011224555782973766,1.2281716408324428e-05,0.0,0.0,cert,0.0,0.09999999999999999
0.0,0.3,0.3,0.14142135623730953,0.011963172815740108,0.0015927819767966866,0.0,0.006000000052154064,cert,0.0,0.19999999999999998
0.0,0.0,0.0,0.0,0.011180813424289227,0.00041552280890755355,0.0,0.041999999433755875,cert,0.0,0.0
0.0,0.3,0.0,0.1414213562373095,0.009812758304178715,1.2408222005433345e-08,0.0,0.0,cert,0.0,0.09999999999999999
0.0,0.0,0.0,0.0,0.022370826452970505,0.2202272117137909,0.03999999910593033,0.03999999910593033,cert,0.0,0.0
0.0,0.3,0.3,0.14142135623730953,0.05149928480386734,0.5964645147323608,0.0,0.05000000074505806,cert,0.0,0.19999999999999998
0.0,0.0,0.0,0.0,0.012754831463098526,0.029977358877658844,0.004000000189989805,0.07599999755620956,cert,0.0,0.0
0.0,0.3,0.3,0.14142135623730953,0.012065332382917404,0.0024674469605088234,0.0,0.012000000104308128,cert,0.0,0.19999999999999998
0.0,0.0,0.3,0.1414213562373095,0.05692225694656372,0.606965184211731,0.0860000029206276,0.09399999678134918,cert,0.0,0.09999999999999999
0.0,0.3,0.7,0.28674417556808757,0.014026706106960773,0.0007151561439968646,0.0020000000949949026,0.014000000432133675,cert,0.0,0.3333333333333333
0.0,0.3,0.3,0.14142135623730953,0.011416126973927021,0.0005432952311821282,0.0,0.019999999552965164,cert,0.0,0.19999999999999998
0.0,0.0,0.0,0.0,0.009800104424357414,5.935672575674289e-08,0.0,0.0,cert,0.0,0.0
0.0,0.3,0.7,0.28674417556808757,0.01677960343658924,0.024912089109420776,0.0020000000949949026,0.0020000000949949026,cert,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.01672816276550293,0.06128860265016556,0.006000000052154064,0.04600000008940697,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.010140522383153439,3.467578437721386e-07,0.009999999776482582,0.006000000052154064,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.010940994136035442,0.0007604355923831463,0.0,0.0860000029206276,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.017322678118944168,0.19236904382705688,0.0,0.07999999821186066,cert,0.0,0.0
0.0,0.7,0.7,0.3299831645537222,0.08274172246456146,0.10384204238653183,0.27000001072883606,0.328000009059906,cert,0.0,0.4666666666666666
0.0,0.3,0.3,0.14142135623730953,0.012361652217805386,0.006532915867865086,0.0,0.0,cert,0.0,0.19999999999999998
0.0,0.3,0.0,0.1414213562373095,0.009853611700236797,9.256895805442866e-10,0.0,0.0,cert,0.0,0.09999999999999999
0.0,0.0,0.3,0.1414213562373095,0.021969247609376907,0.349356472492218,0.0,0.04600000008940697,cert,0.0,0.09999999999999999
0.0,0.3,0.3,0.14142135623730953,0.07447902858257294,0.7423502206802368,0.012000000104308128,0.12800000607967377,cert,0.0,0.19999999999999998
0.0,0.3,0.3,0.14142135623730953,0.018445700407028198,0.0164014995098114,0.0,0.11599999666213989,cert,0.0,0.19999999999999998
0.0,0.0,0.3,0.1414213562373095,0.012465259060263634,0.014848370105028152,0.0,0.014000000432133675,cert,0.0,0.09999999999999999
0.0,0.0,0.0,0.0,0.012477082200348377,0.003911147825419903,0.0,0.0020000000949949026,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.016555070877075195,0.08570466190576553,0.05400000140070915,0.03200000151991844,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.00987238623201847,7.355402885877993e-06,0.00800000037997961,0.0,cert,0.0,0.0
0.0,0.5,0.7,0.29439202887759497,0.01151637639850378,0.0018097790889441967,0.0,0.03200000151991844,cert,0.0,0.39999999999999997
0.0,0.0,0.0,0.0,0.010853216983377934,6.914397999935318e-06,0.004000000189989805,0.006000000052154064,cert,0.0,0.0
0.0,0.0,0.0,0.0,0.009890810586512089,8.759348929743282e-06,0.0,0.0020000000949949026,cert,0.0,0.0
0.0,0.3,0.3,0.14142135623730953,0.016868555918335915,0.071415975689888,0.004000000189989805,0.0020000000949949026,cert,0.0,0.19999999999999998
0.0,0.3,0.0,0.1414213562373095,0.015024333260953426,0.00933440588414669,0.0,0.0560000017285347,cert,0.0,0.09999999999999999
0.0,0.0,0.3,0.1414213562373095,0.02091185376048088,0.1723427176475525,0.02199999988079071,0.04399999976158142,cert,0.0,0.09999999999999999
0.0,0.0,0.3,0.1414213562373095,0.05670643597841263,0.8791438341140747,0.01600000075995922,0.10599999874830246,cert,0.0,0.09999999999999999
0.0,0.3,0.7,0.28674417556808757,0.0411149300634861,0.7771332859992981,0.10599999874830246,0.07999999821186066,cert,0.0,0.3333333333333333
0.0,0.3,1.0,0.41899350299921784,0.01689278520643711,0.002693373244255781,0.006000000052154064,0.07199999690055847,cert,0.0,0.43333333333333335
0.0,0.3,0.7,0.28674417556808757,0.013170326128602028,0.0181967131793499,0.0,0.0,cert,0.0,0.3333333333333333
0.0,0.3,0.3,0.14142135623730953,0.009873887524008751,3.673135893222934e-07,0.0,0.0020000000949949026,cert,0.0,0.19999999999999998
0.0,0.0,0.0,0.0,0.012728049419820309,0.0021714374888688326,0.029999999329447746,0.012000000104308128,cert,0.0,0.0
0.0,0.0,0.7,0.3299831645537222,0.01091230008751154,0.006543988827615976,0.0,0.004000000189989805,cert,0.0,0.2333333333333333
0.0,0.0,0.0,0.0,0.009815224446356297,4.483313750158582e-19,0.0,0.00800000037997961,cert,0.0,0.0
0.3,0.0,0.0,0.1414213562373095,0.016696395352482796,0.1488695740699768,0.009999999776482582,0.006000000052154064,cert,0.3,0.09999999999999999
0.3,0.3,0.3,3.725290298461914e-09,0.04634414613246918,0.5433112382888794,0.03400000184774399,0.08399999886751175,cert,0.3,0.3
0.3,0.0,0.3,0.14142135623730953,0.01758652739226818,0.0021053024102002382,0.014000000432133675,0.1679999977350235,cert,0.3,0.19999999999999998
0.3,0.3,1.0,0.3299831645537222,0.01683378592133522,0.04495120421051979,0.0,0.11800000071525574,cert,0.3,0.5333333333333333
0.3,0.0,0.0,0.1414213562373095,0.01141449250280857,0.00024370559549424797,0.014000000432133675,0.0020000000949949026,cert,0.3,0.09999999999999999
0.3,0.3,0.0,0.14142135623730953,0.04206831008195877,0.715824544429779,0.017999999225139618,0.12800000607967377,cert,0.3,0.19999999999999998
0.3,0.3,0.3,3.725290298461914e-09,0.010977598838508129,0.0013961740769445896,0.0,0.0,cert,0.3,0.3
0.3,0.0,0.0,0.1414213562373095,0.009939275681972504,4.510164615112444e-07,0.03200000151991844,0.017999999225139618,cert,0.3,0.09999999999999999
0.3,0.3,0.3,3.725290298461914e-09,0.01644323207437992,0.009861534461379051,0.0,0.03799999877810478,cert,0.3,0.3
0.3,0.0,0.3,0.14142135623730953,0.01592840626835823,0.01245939265936613,0.0,0.01600000075995922,cert,0.3,0.19999999999999998
0.3,0.3,0.3,3.725290298461914e-09,0.020124977454543114,0.27750638127326965,0.0820000022649765,0.03999999910593033,cert,0.3,0.3
0.3,0.7,0.7,0.1885618083164127,0.011227964423596859,0.015099747106432915,0.0,0.0,cert,0.3,0.5666666666666667
0.3,0.3,0.7,0.1885618083164127,0.05645466223359108,0.38100144267082214,0.00800000037997961,0.164000004529953,cert,0.3,0.4333333333333333
0.3,0.3,0.3,3.725290298461914e-09,0.02021399326622486,0.24126240611076355,0.057999998331069946,0.009999999776482582,cert,0.3,0.3
0.3,0.3,0.0,0.14142135623730953,0.020112963393330574,0.11388149112462997,0.004000000189989805,0.024000000208616257,cert,0.3,0.19999999999999998
0.3,0.3,0.7,0.1885618083164127,0.015071646310389042,0.1006418913602829,0.0,0.0,cert,0.3,0.4333333333333333
0.3,0.0,0.0,0.1414213562373095,0.010376849211752415,1.2591873201017734e-05,0.0,0.04399999976158142,cert,0.3,0.09999999999999999
0.3,0.3,0.7,0.1885618083164127,0.015088762156665325,0.029382405802607536,0.0,0.09200000017881393,cert,0.3,0.4333333333333333
0.3,0.3,0.3,3.725290298461914e-09,0.014064316637814045,0.004863313399255276,0.0,0.01600000075995922,cert,0.3,0.3
0.3,0.3,0.3,3.725290298461914e-09,0.012549390085041523,0.04073193296790123,0.0,0.0,cert,0.3,0.3
0.3,0.0,0.0,0.1414213562373095,0.04593087360262871,0.6209622025489807,0.024000000208616257,0.2240000069141388,cert,0.3,0.09999999999999999
0.3,0.3,0.5,0.0942809041582062,0.011708884499967098,0.0005628949729725718,0.0,0.01600000075995922,cert,0.3,0.3666666666666667
0.3,0.3,0.3,3.725290298461914e-09,0.015566769987344742,0.015911661088466644,0.0,0.01600000075995922,cert,0.3,0.3
0.3,0.3,0.3,3.725290298461914e-09,0.03852003067731857,0.6830854415893555,0.006000000052154064,0.1120000034570694,cert,0.3,0.3
0.3,0.0,0.3,0.14142135623730953,0.009988094680011272,5.393696937971981e-07,0.0,0.01600000075995922,cert,0.3,0.19999999999999998
0.3,0.0,0.0,0.1414213562373095,0.017605984583497047,0.4055922329425812,0.014000000432133675,0.035999998450279236,cert,0.3,0.09999999999999999
0.3,0.0,0.3,0.14142135623730953,0.011942552402615547,0.0002363115199841559,0.0,0.006000000052154064,cert,0.3,0.19999999999999998
0.3,0.3,0.3,3.725290298461914e-09,0.02538273110985756,0.2951851189136505,0.014000000432133675,0.03400000184774399,cert,0.3,0.3
