model,pixels_above_0.5,valid_pixels,area_ha
logreg_npt,178572465,237963203,374033.7219296113
logreg_pt,183773184,237963203,384927.0266968387
rf_npt,180756029,237963203,378607.3641761441
rf_pt,179883584,237963203,376779.96121942915
