_stratum,_cluster_id,score1,score2,score3,lon,lat,score_mean,score_std,n_interpreters,ref_label,prob_final,prob_bin
consensus,consensus_201,0.0,0.0,0.3,89.17817681029908,22.043799465143536,0.09999999999999999,0.17320508075688773,3,0,0.04600000008940697,0.0-0.3
consensus,consensus_202,0.3,0.0,0.0,89.83291173352156,21.85168201881031,0.09999999999999999,0.17320508075688773,3,0,0.04399999976158142,0.0-0.3
consensus,consensus_203,0.0,0.0,0.3,89.82450689215716,21.851501560728302,0.09999999999999999,0.17320508075688773,3,0,0.052000001072883606,0.0-0.3
consensus,consensus_205,0.0,0.0,0.0,89.22062173938866,22.073825355792252,0.0,0.0,3,0,0.03200000151991844,0.0-0.3
consensus,consensus_209,0.3,0.0,0.3,89.3229940817508,21.823263612960165,0.19999999999999998,0.17320508075688773,3,0,0.01600000075995922,0.0-0.3
consensus,consensus_212,0.3,0.0,0.3,89.21742989223512,22.02797149700285,0.19999999999999998,0.17320508075688773,3,0,0.004000000189989805,0.0-0.3
consensus,consensus_219,0.0,0.0,0.0,89.83191358502542,21.855665991759277,0.0,0.0,3,0,0.041999999433755875,0.0-0.3
consensus,consensus_220,0.0,0.0,0.0,89.05571096060879,22.068217230595206,0.0,0.0,3,0,0.0020000000949949026,0.0-0.3
consensus,consensus_226,0.3,0.0,0.0,89.32827712780671,21.80846910724491,0.09999999999999999,0.17320508075688773,3,0,0.035999998450279236,0.0-0.3
consensus,consensus_227,0.3,0.0,0.0,89.85942646133472,22.007262497754674,0.09999999999999999,0.17320508075688773,3,0,0.017999999225139618,0.0-0.3
consensus,consensus_229,0.0,0.0,0.7,89.41157340038264,22.151349160524862,0.2333333333333333,0.40414518843273806,3,0,0.004000000189989805,0.0-0.3
consensus,consensus_230,0.0,0.0,0.0,89.08909054184889,21.932730279794583,0.0,0.0,3,0,0.04600000008940697,0.0-0.3
consensus,consensus_233,0.0,0.0,0.0,89.54709390676753,21.75624129875279,0.0,0.0,3,0,0.07599999755620956,0.0-0.3
consensus,consensus_234,0.0,0.0,0.7,89.38163025922408,22.024602394347966,0.2333333333333333,0.40414518843273806,3,0,0.019999999552965164,0.0-0.3
consensus,consensus_238,0.3,0.0,0.3,89.60879211410109,22.350124444376643,0.19999999999999998,0.17320508075688773,3,0,0.1679999977350235,0.0-0.3
consensus,consensus_243,0.3,0.3,0.3,89.17152301002477,22.016211062649234,0.3,0.0,3,0,0.1120000034570694,0.0-0.3
consensus,consensus_249,0.0,0.3,0.0,89.15572234199486,22.195472276815618,0.09999999999999999,0.17320508075688773,3,0,0.06599999964237213,0.0-0.3
consensus,consensus_251,0.0,0.3,0.3,89.15329462165377,22.003001994341815,0.19999999999999998,0.17320508075688773,3,0,0.0,0.0-0.3
consensus,consensus_252,0.5,0.3,0.7,89.3234919633388,21.85642919104816,0.5,0.19999999999999998,3,1,0.1379999965429306,0.0-0.3
consensus,consensus_253,0.0,0.3,0.3,89.11893045300856,21.74112906000011,0.19999999999999998,0.17320508075688773,3,0,0.11599999666213989,0.0-0.3
consensus,consensus_255,0.3,0.3,0.3,89.1181765639258,22.01749069013247,0.3,0.0,3,0,0.08399999886751175,0.0-0.3
consensus,consensus_258,0.3,0.3,0.3,89.26269843244272,22.162862574282688,0.3,0.0,3,0,0.03799999877810478,0.0-0.3
consensus,consensus_264,0.0,0.3,0.3,89.16112237573331,22.06616511413306,0.19999999999999998,0.17320508075688773,3,0,0.0020000000949949026,0.0-0.3
consensus,consensus_268,0.3,0.3,0.3,89.1725415014109,22.001206871173267,0.3,0.0,3,0,0.0,0.0-0.3
consensus,consensus_272,0.0,0.3,0.3,89.17617478476006,22.042414196729972,0.19999999999999998,0.17320508075688773,3,0,0.006000000052154064,0.0-0.3
consensus,consensus_273,0.5,0.3,0.3,89.20559031710799,22.13252528960485,0.3666666666666667,0.11547005383792516,3,0,0.006000000052154064,0.0-0.3
consensus,consensus_275,0.5,0.3,0.3,89.05741718513808,22.07865812593208,0.3666666666666667,0.11547005383792516,3,0,0.06800000369548798,0.0-0.3
consensus,consensus_276,0.0,0.3,0.3,89.17963859767713,22.047933063522716,0.19999999999999998,0.17320508075688773,3,0,0.029999999329447746,0.0-0.3
consensus,consensus_277,0.0,0.3,0.7,89.2960011018755,22.20946463185446,0.3333333333333333,0.3511884584284246,3,0,0.014000000432133675,0.0-0.3
consensus,consensus_278,0.5,0.3,0.3,89.1797269988688,21.84062823804921,0.3666666666666667,0.11547005383792516,3,0,0.07400000095367432,0.0-0.3
consensus,consensus_283,0.5,0.3,0.7,89.2240243761402,22.047652867961965,0.5,0.19999999999999998,3,1,0.024000000208616257,0.0-0.3
consensus,consensus_291,0.3,0.3,0.7,89.20270631312255,21.86398805137268,0.4333333333333333,0.2309401076758503,3,0,0.39399999380111694,0.3-0.5
consensus,consensus_293,0.0,0.3,0.3,89.32942115843566,21.85171548681711,0.19999999999999998,0.17320508075688773,3,0,0.0020000000949949026,0.0-0.3
consensus,consensus_295,0.3,0.3,0.7,89.339185838176,22.20900241089364,0.4333333333333333,0.2309401076758503,3,0,0.019999999552965164,0.0-0.3
consensus,consensus_297,1.0,0.5,0.7,89.22986593965143,22.198058275789222,0.7333333333333334,0.2516611478423583,3,1,0.9940000176429749,0.7-1.0
consensus,consensus_298,0.5,0.5,0.3,89.33902756133847,21.87728300525192,0.43333333333333335,0.11547005383792516,3,0,0.00800000037997961,0.0-0.3
consensus,consensus_301,0.7,0.5,0.7,89.32480843332044,21.858801242803587,0.6333333333333333,0.11547005383792512,3,1,0.07199999690055847,0.0-0.3
consensus,consensus_308,0.0,0.7,0.7,89.35078131214657,21.859925960560968,0.4666666666666666,0.40414518843273806,3,0,0.029999999329447746,0.0-0.3
consensus,consensus_311,0.5,0.7,0.3,89.81583296986557,22.02610830405116,0.5,0.19999999999999998,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_315,1.0,0.7,0.3,89.17400018960856,21.84451739735728,0.6666666666666666,0.3511884584284246,3,1,0.9919999837875366,0.7-1.0
consensus,consensus_318,1.0,0.7,0.7,89.07065655485641,22.17312136687547,0.7999999999999999,0.17320508075688776,3,1,0.949999988079071,0.7-1.0
consensus,consensus_324,1.0,0.7,1.0,89.18919263127019,22.06423181708143,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_331,1.0,0.7,0.7,89.3771873452885,22.216917477917367,0.7999999999999999,0.17320508075688776,3,1,0.9919999837875366,0.7-1.0
consensus,consensus_337,1.0,0.7,0.3,89.6056457235351,21.913134271959585,0.6666666666666666,0.3511884584284246,3,1,0.8799999952316284,0.7-1.0
consensus,consensus_345,1.0,0.7,1.0,89.24590373522284,22.19101845260317,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_351,1.0,1.0,0.7,89.13823609196801,21.864667876684578,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_355,1.0,1.0,0.7,89.15100689597952,21.963746692013437,0.9,0.17320508075688776,3,1,0.9480000138282776,0.7-1.0
consensus,consensus_356,1.0,1.0,0.7,89.64213305088825,22.039687285796816,0.9,0.17320508075688776,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_364,1.0,1.0,0.0,89.0990650243455,22.12237107786465,0.6666666666666666,0.5773502691896258,3,1,0.9919999837875366,0.7-1.0
consensus,consensus_385,1.0,1.0,0.3,89.06710926901843,21.784276074653253,0.7666666666666666,0.40414518843273806,3,1,1.0,0.7-1.0
consensus,consensus_390,1.0,1.0,1.0,89.20276666534188,21.969579109044783,1.0,0.0,3,1,1.0,0.7-1.0
consensus,consensus_394,1.0,1.0,0.3,89.33465178972844,21.82699584667614,0.7666666666666666,0.40414518843273806,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_400,1.0,1.0,0.0,89.44239672458829,21.96230724499134,0.6666666666666666,0.5773502691896258,3,1,1.0,0.7-1.0
consensus,consensus_401,0.0,0.0,0.0,89.42945531234405,22.107382625502815,0.0,0.0,3,0,0.07999999821186066,0.0-0.3
consensus,consensus_402,0.3,0.0,0.0,89.33649864258369,22.097662467382488,0.09999999999999999,0.17320508075688773,3,0,0.2240000069141388,0.0-0.3
consensus,consensus_403,0.0,0.0,0.0,89.50045093127231,21.96273899416355,0.0,0.0,3,0,0.0,0.0-0.3
consensus,consensus_404,0.0,0.3,0.0,89.19829214105444,22.010805650482304,0.09999999999999999,0.17320508075688773,3,0,0.0,0.0-0.3
consensus,consensus_407,0.3,0.0,0.0,89.46023167452742,21.81561620998219,0.09999999999999999,0.17320508075688773,3,0,0.0020000000949949026,0.0-0.3
consensus,consensus_408,0.0,0.3,0.0,89.3454473310403,21.870048199386236,0.09999999999999999,0.17320508075688773,3,0,0.0,0.0-0.3
consensus,consensus_409,1.0,0.7,0.0,89.36891198608218,22.30369628750416,0.5666666666666667,0.5131601439446883,3,1,1.0,0.7-1.0
consensus,consensus_410,0.0,0.3,0.0,89.2974857214494,21.964537341463167,0.09999999999999999,0.17320508075688773,3,0,0.0560000017285347,0.0-0.3
consensus,consensus_411,1.0,1.0,0.0,89.5050706165105,22.174327255534564,0.6666666666666666,0.5773502691896258,3,1,0.8640000224113464,0.7-1.0
